Designator,Mid X,Mid Y,Layer,Rotation
C1,17.57,52.87,Top,0
D1,34.96,9.85,Top,0
D2,39.94,9.84,Top,0
D3,13.55,9.79,Top,0
D4,18.63,9.78,Top,0
D5,11.22,25.91,Top,270
D6,11.22,20.73,Top,270
D7,11.16,48.38,Top,270
D8,11.26,43.3,Top,270
D9,11.16,70.24,Top,270
D10,11.11,65.02,Top,270
D11,11.2,91.67,Top,270
D12,11.12,86.71,Top,270
D13,28.31,93.12,Top,180
D14,23.21,93.04,Top,180
D15,49.98,93.14,Top,180
D16,44.6,93.14,Top,180
D17,41.29,23.51,Top,0
D18,41.29,25.13,Top,0
D19,38.48,39.38,Top,90
D20,38.48,42.68,Top,90
D21,38.48,45.98,Top,90
D22,38.48,49.28,Top,90
D23,38.48,52.58,Top,90
D24,38.48,55.89,Top,90
D25,38.48,59.19,Top,90
D26,38.48,62.19,Top,90
D27,35.31,39.38,Top,90
D28,35.31,42.68,Top,90
D29,35.31,45.98,Top,90
D30,35.31,49.28,Top,90
D31,35.31,52.58,Top,90
D32,35.31,55.89,Top,90
D33,35.31,59.19,Top,90
D34,35.31,62.19,Top,90
R3,41.3,31.05,Top,0
R4,41.3,33.14,Top,0
R53,17.57,56.93,Top,0
R54,17.57,54.9,Top,180
R55,30.53,55.66,Top,0
R56,30.53,53.63,Top,180
R57,30.53,51.6,Top,180
R58,17.6,50.8,Top,180
S1,44.03,13.63,Top,0
S2,44.06,18.08,Top,0
S3,35.11,13.6,Top,0
S4,35.11,18.17,Top,0
S5,26.35,13.67,Top,0
S6,26.35,18.19,Top,0
S7,17.35,13.62,Top,0
S8,17.35,18.14,Top,0
S9,17.46,84.61,Top,0
S10,17.41,89.14,Top,0
S11,26.41,84.57,Top,0
S12,26.41,89.05,Top,0
S13,35.17,84.73,Top,0
S14,35.17,89.21,Top,0
S15,44.17,84.54,Top,0
S16,44.17,89.03,Top,0
U1,24.08,53.81,Top,0
J1,47.43,23.43,Top,90
J2,47.43,33.86,Top,90
J3,47.6,49.5,Top,90
J4,43.78,4.93,Top,0
J5,33.62,4.93,Top,0
J6,22.37,4.93,Top,0
J7,12.21,4.93,Top,0
J8,5.93,17.04,Top,270
J9,5.93,27.2,Top,270
J10,5.93,39.45,Top,270
J11,5.93,49.61,Top,270
J12,5.93,61.24,Top,270
J13,47.6,71.008,Top,90
J14,5.93,82.83,Top,270
J15,5.93,71.4,Top,270
J16,19.42,98.08,Top,180
J17,5.92,92.99,Top,270
J18,41.01,98.08,Top,180
J19,29.58,98.08,Top,180
J20,51.17,98.08,Top,180
IC1,23.85,73.32,Top,90
IC2,23.85,28.89,Top,90
R5,18.6,40.29,Bottom,0
R6,18.6,41.91,Bottom,180
R7,34.93,9.8,Bottom,0
R8,39.93,9.87,Bottom,0
R9,21.9,40.24,Bottom,0
R10,21.9,41.86,Bottom,180
R11,13.53,9.74,Bottom,0
R12,18.63,9.71,Bottom,0
R13,25.3,40.27,Bottom,0
R14,25.3,41.88,Bottom,180
R15,11.18,25.87,Bottom,90
R16,11.15,20.67,Bottom,90
R17,28.76,40.3,Bottom,0
R18,28.76,41.91,Bottom,180
R19,11.12,48.33,Bottom,90
R20,11.19,43.33,Bottom,90
R21,28.72,60.62,Bottom,0
R22,28.72,62.21,Bottom,180
R23,11.11,70.26,Bottom,90
R24,11.08,65.02,Bottom,90
R25,25.36,60.65,Bottom,0
R26,25.36,62.24,Bottom,180
R27,11.13,91.6,Bottom,90
R28,11.12,86.72,Bottom,90
R29,22.01,60.62,Bottom,0
R30,22.01,62.21,Bottom,180
R31,28.3,93.11,Bottom,180
R32,23.18,93.06,Bottom,180
R33,18.65,60.6,Bottom,0
R34,18.65,62.18,Bottom,180
R35,49.98,93.15,Bottom,180
R36,44.62,93.18,Bottom,180
R37,38.61,39.25,Bottom,180
R38,38.61,42.55,Bottom,180
R39,38.61,45.85,Bottom,180
R40,38.61,49.15,Bottom,180
R41,38.61,52.46,Bottom,180
R42,38.61,55.76,Bottom,180
R43,38.61,59.06,Bottom,180
R44,38.61,62.36,Bottom,180
R45,35.31,39.22,Bottom,180
R46,35.31,42.52,Bottom,180
R47,35.31,45.82,Bottom,180
R48,35.31,49.12,Bottom,180
R49,35.31,52.43,Bottom,180
R50,35.31,55.73,Bottom,180
R51,35.31,59.03,Bottom,180
R52,35.31,62.33,Bottom,180
